;Raw mat.;Manufacturing;Packaging;Autoclave;Container cleaning;Transport;Incineration;Recycling;Avoided mat. prod.;Avoided energy prod.
H2R;0.154241653;0.047098413;0.029695566;0.313619415;0;0.000227049;0.093991167;0;-0.098885177;-0.103096791
H2S;0.154241653;0.047098413;0.029695566;0.313619415;0;0.000227049;0.204328624;0;-0.006893154;-0.22412346
ASC;0.093526723;0.016045341;0.001911542;0.418159221;0.081383517;0.001019279;0.00037872;0.003019104;-0.090140256;-0.000628581
ASW;0.093526723;0.016045341;0.032721495;0.418159221;0.010868049;0.001019279;0.035202007;0.003019104;-0.090140256;-0.043319763
H4R;0.438828364;0.133998301;0.089558056;0.418159221;0;0.00068475;0.274481632;0;-0.282821535;-0.293317632
H4S;0.438828364;0.133998301;0.089558056;0.418159221;0;0.00321999;0.58510497;0;-0.01961151;-0.637647026
ALC;0.156522745;0.027201129;0.003199084;0.627238831;0.162767034;0.001705826;0.00075744;0.005052657;-0.150855282;-0.001257162
ALW;0.156522745;0.027201129;0.034009036;0.627238831;0.010868049;0.001705826;0.035580727;0.005052657;-0.150855282;-0.043319763
;;;;;;;;;;
;;;;;;;;;;
H2;1;1;1;1;;1;0.46;;;0.46
AS;1;1;0.05841855;1;;1;0.010758476;;;0.014510264
H4;1;1;1;1;;0.212656072;0.469115196;;;0.46
AL;1;1;0.094065705;1;;1;0.021287927;;;0.029020529
